Date,adj close_reliance.ns,close_reliance.ns,high_reliance.ns,low_reliance.ns,open_reliance.ns,volume_reliance.ns,rsi
2025-01-17,1302.3499755859375,1302.3499755859375,1326.0,1285.0,1322.25,29366277,74.7163683736957
2025-01-20,1305.449951171875,1305.449951171875,1316.0,1300.25,1316.0,14040244,75.30875682943204
2025-01-21,1273.699951171875,1273.699951171875,1313.0,1270.199951171875,1310.5,14562976,59.843581471599975
2025-01-22,1277.0999755859375,1277.0999755859375,1282.9000244140625,1268.699951171875,1278.300048828125,10273590,60.77259479229612
2025-01-23,1263.6500244140625,1263.6500244140625,1277.3499755859375,1261.5999755859375,1270.0,8720682,55.32035117117832
2025-01-24,1246.300048828125,1246.300048828125,1273.0,1243.5,1266.0,14235970,49.189726546514315
2025-01-27,1229.3499755859375,1229.3499755859375,1240.449951171875,1220.0,1239.0999755859375,9536019,44.05335766023063
2025-01-28,1234.4000244140625,1234.4000244140625,1244.75,1218.5,1238.0,10568025,45.86700375713411
2025-01-29,1235.5,1235.5,1242.75,1228.050048828125,1236.0,5928156,46.27553266099867
2025-01-30,1253.050048828125,1253.050048828125,1257.0,1232.4000244140625,1235.550048828125,9269259,52.44234988595001
2025-01-31,1265.0999755859375,1265.0999755859375,1267.0,1249.0,1255.8499755859375,6584612,56.163013535177974
2025-02-01,1264.5999755859375,1264.5999755859375,1270.550048828125,1241.0,1265.0999755859375,7118453,55.9673521763795
2025-02-03,1245.9000244140625,1245.9000244140625,1256.0,1237.550048828125,1251.0,9252345,49.08052737587631
2025-02-04,1285.199951171875,1285.199951171875,1288.800048828125,1246.5999755859375,1248.050048828125,16691069,60.17238978883174
2025-02-05,1278.199951171875,1278.199951171875,1290.5,1276.699951171875,1282.6500244140625,10112028,57.75897997615749
2025-02-06,1281.550048828125,1281.550048828125,1288.0,1270.3499755859375,1273.699951171875,9956001,58.61449218750357
2025-02-07,1266.699951171875,1266.699951171875,1283.699951171875,1262.0,1276.1500244140625,8764283,53.44708846208142
2025-02-10,1253.6500244140625,1253.6500244140625,1266.5,1245.550048828125,1264.5,6970972,49.33129693752712
2025-02-11,1234.8499755859375,1234.8499755859375,1264.550048828125,1230.0999755859375,1264.550048828125,8859714,44.06658841005169
2025-02-12,1216.550048828125,1216.550048828125,1226.9000244140625,1193.3499755859375,1219.449951171875,21131654,39.632738954666586
2025-02-13,1216.0999755859375,1216.0999755859375,1228.0,1212.0,1217.050048828125,8511216,39.52740017316848
2025-02-14,1217.25,1217.25,1224.0,1205.449951171875,1219.0,10298145,39.96647305199155
2025-02-17,1224.9000244140625,1224.9000244140625,1227.5,1204.5,1211.0999755859375,8166683,42.934657234392844
2025-02-18,1225.4000244140625,1225.4000244140625,1229.9000244140625,1216.0999755859375,1224.8499755859375,6673250,43.13256030376403
2025-02-19,1227.449951171875,1227.449951171875,1232.75,1217.550048828125,1219.5,6217338,43.99018496652634
2025-02-20,1233.0,1233.0,1239.3499755859375,1222.0,1223.949951171875,7795582,46.349315627421895
2025-02-21,1228.1500244140625,1228.1500244140625,1240.0,1222.1500244140625,1228.699951171875,6904025,44.58215375131443
2025-02-24,1214.550048828125,1214.550048828125,1223.25,1210.5,1216.550048828125,7172498,39.97906925925448
2025-02-25,1204.0,1204.0,1221.0,1201.5,1211.0,11552182,36.804466075660685
2025-02-27,1207.0999755859375,1207.0999755859375,1215.0,1200.6500244140625,1212.800048828125,11509215,38.35347477779976
2025-02-28,1200.0999755859375,1200.0999755859375,1217.3499755859375,1193.300048828125,1202.0,23007298,36.19596824919494
2025-03-03,1171.25,1171.25,1206.449951171875,1156.0,1204.0,17944938,28.96424620055612
